,season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
107,2022.0,1304080,Delhi Capitals v Rajasthan Royals,DC v RR,DC,RR,Rishabh Pant,Sanju Samson,"Wankhede Stadium, Mumbai",Delhi Capitals , Rajasthan Royals
108,2022.0,1304081,Kolkata Knight Riders v Gujarat Titans,KKR v GT,KKR,GT,Shreyas Iyer,Hardik Pandya,"Dr DY Patil Sports Academy, Navi Mumbai",Kolkata Knight Riders , Gujarat Titans
109,2022.0,1304082,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,RCB,SRH,Faf du Plessis,Kane Williamson,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore , Sunrisers Hyderabad
110,2022.0,1304083,Lucknow Super Giants v Mumbai Indians,LSG v MI,LSG,MI,KL Rahul,Rohit Sharma,"Wankhede Stadium, Mumbai",Lucknow Super Giants , Mumbai Indians
111,2022.0,1304084,Punjab Kings v Chennai Super Kings,PBKS v CSK,PBKS,CSK,Mayank Agarwal,Ravindra Jadeja,"Wankhede Stadium, Mumbai",Punjab Kings , Chennai Super Kings
112,2022.0,1304085,Royal Challengers Bangalore v Rajasthan Royals,RCB v RR,RCB,RR,Faf du Plessis,Sanju Samson,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore , Rajasthan Royals
113,2022.0,1304086,Gujarat Titans v Sunrisers Hyderabad,GT v SRH,GT,SRH,Hardik Pandya,Kane Williamson,"Wankhede Stadium, Mumbai",Gujarat Titans , Sunrisers Hyderabad
114,2022.0,1304087,Delhi Capitals v Kolkata Knight Riders,DC v KKR,DC,KKR,Rishabh Pant,Shreyas Iyer,"Wankhede Stadium, Mumbai",Delhi Capitals , Kolkata Knight Riders
115,2022.0,1304088,Punjab Kings v Lucknow Super Giants,PBKS v LSG,PBKS,LSG,Mayank Agarwal,KL Rahul,"Maharashtra Cricket Association Stadium, Pune",Punjab Kings , Lucknow Super Giants
116,2022.0,1304089,Gujarat Titans v Royal Challengers Bangalore,GT v RCB,GT,RCB,Hardik Pandya,Faf du Plessis,"Brabourne Stadium, Mumbai",Gujarat Titans , Royal Challengers Bangalore
117,2022.0,1304090,Rajasthan Royals v Mumbai Indians,RR v MI,RR,MI,Sanju Samson,Rohit Sharma,"Dr DY Patil Sports Academy, Navi Mumbai",Rajasthan Royals , Mumbai Indians
118,2022.0,1304091,Delhi Capitals v Lucknow Super Giants,DC v LSG,DC,LSG,Rishabh Pant,KL Rahul,"Wankhede Stadium, Mumbai",Delhi Capitals , Lucknow Super Giants
119,2022.0,1304092,Sunrisers Hyderabad v Chennai Super Kings,SRH v CSK,SRH,CSK,Kane Williamson,MS Dhoni,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad , Chennai Super Kings
